,name,categories,address,city,postal_code,province,country,latitude,longitude,websites
6545,Burger King,Fast Food Restaurants,1950 Lincoln Way E,Chambersburg,17202,PA,US,39.92218,-77.599832,"https://locations.bk.com/pa/chambersburg/1950-lincoln-way-east.html,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ8m30nk3OlFQN_hHHwsyZvrnKMlQR9ZcD95dGkEtbWJpAgpMNsLP69Oe39BVfuFfZmjib5wSni6ekXpNyvKj8dr7AKdvaZ22_lCWs0EEEsxIllIJyRO510FYuQ07y27MPG2Sk_hoVkSTM3tD42VslYjQxBDgVWnuJ1-9IUg371d1IdND0Uk7pPDmBBAVjKrZD6_Fy_SeMmBL3BWfBvB1xkZdopRbaz856iUbTlhnf2pi5AxFa1O3YPLVXgiQrIr7g7jrJrInKVkv14ctjNIuadE0IR0Ib7NU27POdSEWcoIyVlUmRVRso6RWuDowSVHeyduwn5ak2Sd65oIu48DEYnjDxGpy1-J1gstCn4rIP4AzGWjjkHTMhX1BNPkBGE8N6J0bEc8jSx_eY5Fo9VQngyTi2xmB4yVFZBvkNP1Nppe-Al8gYSPUQRPdHcXCvUPNunuBA26SHKsBGsCLhJ_-BVHsDa3fkADLCoGVjDsvYCi53PwWWCdzLQg&placement=listing_profile&cs_user=unknown&cs_session=f63fc4c61b6c6af3dca2115a57dff31843b5e526"
6546,Burger King,Fast Food Restaurant,102 N Logan Blvd,Burnham,17009,PA,US,40.629594,-77.567797,"http://www.bk.com,https://locations.bk.com/pa/burnham/102-north-logan-blvd.html,https://www.bk.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJYD3APfFyZb1SUEABa1jmpS3OwA6Ks1I5CDBDFFBKgpJVmXGrtIMYbHEpW6iNyWqS-UAhvAV53OpvnwbLcDnScNrecxauqU0DTg2oqRrCKPe5euu8fDa0oR3eCryNlGbkjThIx5ghuBZniqR3Rb1CSA4guP8KmYPCJjGrShUKiUSxeUJ2_LznEee00pwS8LboMjy5dCHBEsiopyyirHGrEcp0FPU9T52EccHLKCSkQb-TRCtsou8ss6v-nY7sEdNsS5eCqgcWkmkBZ-eLQ6uatZCQVeUbHxe5cIwg1XLqdsJbBPVhb2pHQGMzKhNHg2MrJBe3lIHasI8-DU_A-y7ToA&placement=listing_profile&cs_user=unknown&cs_session=50202b5a42bd35155fe01456721f89817b1069b3"
6547,Burger King,Fast Food Restaurant and Burger Joint,3924 Linden St,Bethlehem,18020,PA,US,40.644602,-75.319195,http://www.bk.com
6548,Burger King,Fast Food Restaurant and Burger Joint,150 Wilson Rd,Bentleyville,15314,PA,US,40.127755,-80.003201,"http://www.bk.com,https://locations.bk.com/pa/bentleyville/150-wilson-rd.html"
6549,Burger King,Fast Food Restaurant,8699 SW Robert Burns Dr,Wilsonville,97070,OR,US,45.334659,-122.767209,http://www.bk.com
6550,Burger King,Fast Food Restaurants,1416 W 6th St,The Dalles,97058,OR,US,45.607374,-121.20195,"http://www.bk.com,https://locations.bk.com/or/the-dalles/1416-west-6th-st.html"
6551,Burger King,Fast Food Restaurants,5145 Commercial St SE,Salem,97306,OR,US,44.880678,-123.029408,"http://www.bk.com,https://locations.bk.com/or/salem/5145-commercial-st.html"
6552,Burger King,Fast Food Restaurant and Burger Joint South Side,110 E 95th St,Chicago,60619,IL,US,41.721805,-87.620105,http://www.bk.com
6553,Burger King,Fast Food,8650 State Rd,Burbank,60459,IL,US,41.73473,-87.779121,http://www.bk.com
6554,Burger King,Fast Food Restaurant,353 S Kennedy Dr,Bradley,60915,IL,US,41.140367,-87.87676,https://locations.bk.com/il/bradley/353-south-kennedy-dr.html
6555,Burger King,Fast Food Restaurant,1060 Main St NW,Bourbonnais,60914,IL,US,41.162957,-87.894341,http://www.bk.com
